id,name,category,base_system,constraint,archetype,structurally_distinct,why_distinct,what_the_constraint_changes,components,nodes,edges
"graphql-gateway-readheavy","GraphQL gateway — read-heavy","Web & API","GraphQL gateway","read-heavy","fanout","no","The client decides the fan-out, so capacity planning has no fixed shape.","Reads dominate 50:1; the design lives or dies on hit rate.","10","client:Client,cdn:CDN,gateway:API gateway,bff:BFF,micro:Service A,micro:Service B,micro:Service C,cache:Cache,sql:DB,cache:Edge cache","client>cdn>gateway>bff,bff>micro,bff>micro,bff>micro,micro>cache,micro>sql"
"graphql-gateway-bursty","GraphQL gateway — burst-tolerant","Web & API","GraphQL gateway","burst-tolerant","fanout","no","The client decides the fan-out, so capacity planning has no fixed shape.","Load arrives in spikes 20× the mean; steady-state sizing is a trap.","11","client:Client,cdn:CDN,gateway:API gateway,bff:BFF,micro:Service A,micro:Service B,micro:Service C,cache:Cache,sql:DB,queue:Surge queue,ratelimiter:Rate limiter","client>cdn>gateway>bff,bff>micro,bff>micro,bff>micro,micro>cache,micro>sql"
"graphql-gateway-multiregion","GraphQL gateway — multi-region active-active","Web & API","GraphQL gateway","multi-region active-active","fanout","no","The client decides the fan-out, so capacity planning has no fixed shape.","Two live regions; replication lag becomes a correctness question.","11","client:Client,cdn:CDN,gateway:API gateway,bff:BFF,micro:Service A,micro:Service B,micro:Service C,cache:Cache,sql:DB,gslb:Global LB,cdc:Replicator","client>cdn>gateway>bff,bff>micro,bff>micro,bff>micro,micro>cache,micro>sql"
"url-shortener","URL shortener","Web & API","URL shortener","base","readheavy","no","A trivial read path at enormous volume; the write path is a rounding error.","The straightforward shape, sized for steady load.","7","client:Client,cdn:CDN,lb:Load balancer,app:App,cache:Cache,sql:Primary DB,search:Search","client>cdn>lb>app,app>cache,app>sql,app>search"
"url-shortener-readheavy","URL shortener — read-heavy","Web & API","URL shortener","read-heavy","readheavy","no","A trivial read path at enormous volume; the write path is a rounding error.","Reads dominate 50:1; the design lives or dies on hit rate.","8","client:Client,cdn:CDN,lb:Load balancer,app:App,cache:Cache,sql:Primary DB,search:Search,cache:Edge cache","client>cdn>lb>app,app>cache,app>sql,app>search"
"url-shortener-bursty","URL shortener — burst-tolerant","Web & API","URL shortener","burst-tolerant","readheavy","no","A trivial read path at enormous volume; the write path is a rounding error.","Load arrives in spikes 20× the mean; steady-state sizing is a trap.","9","client:Client,cdn:CDN,lb:Load balancer,app:App,cache:Cache,sql:Primary DB,search:Search,queue:Surge queue,ratelimiter:Rate limiter","client>cdn>lb>app,app>cache,app>sql,app>search"
"url-shortener-multiregion","URL shortener — multi-region active-active","Web & API","URL shortener","multi-region active-active","readheavy","no","A trivial read path at enormous volume; the write path is a rounding error.","Two live regions; replication lag becomes a correctness question.","9","client:Client,cdn:CDN,lb:Load balancer,app:App,cache:Cache,sql:Primary DB,search:Search,gslb:Global LB,cdc:Replicator","client>cdn>lb>app,app>cache,app>sql,app>search"
"auth-service","Authentication service","Web & API","Authentication service","base","txn","no","Password hashing is deliberately slow and every sign-in pays for it.","The straightforward shape, sized for steady load.","8","client:Client,waf:WAF,gateway:API gateway,app:Transaction API,ledger:Ledger,sql:Records DB,queue:Settlement queue,worker:Settler","client>waf>gateway>app,app>ledger,app>sql,app>queue>worker"
"auth-service-readheavy","Authentication service — read-heavy","Web & API","Authentication service","read-heavy","txn","no","Password hashing is deliberately slow and every sign-in pays for it.","Reads dominate 50:1; the design lives or dies on hit rate.","9","client:Client,waf:WAF,gateway:API gateway,app:Transaction API,ledger:Ledger,sql:Records DB,queue:Settlement queue,worker:Settler,cache:Edge cache","client>waf>gateway>app,app>ledger,app>sql,app>queue>worker"
"auth-service-bursty","Authentication service — burst-tolerant","Web & API","Authentication service","burst-tolerant","txn","no","Password hashing is deliberately slow and every sign-in pays for it.","Load arrives in spikes 20× the mean; steady-state sizing is a trap.","10","client:Client,waf:WAF,gateway:API gateway,app:Transaction API,ledger:Ledger,sql:Records DB,queue:Settlement queue,worker:Settler,queue:Surge queue,ratelimiter:Rate limiter","client>waf>gateway>app,app>ledger,app>sql,app>queue>worker"
"auth-service-multiregion","Authentication service — multi-region active-active","Web & API","Authentication service","multi-region active-active","txn","no","Password hashing is deliberately slow and every sign-in pays for it.","Two live regions; replication lag becomes a correctness question.","10","client:Client,waf:WAF,gateway:API gateway,app:Transaction API,ledger:Ledger,sql:Records DB,queue:Settlement queue,worker:Settler,gslb:Global LB,cdc:Replicator","client>waf>gateway>app,app>ledger,app>sql,app>queue>worker"
"session-store","Session service","Web & API","Session service","base","readheavy","no","Read on every request; an outage here is an outage everywhere.","The straightforward shape, sized for steady load.","7","client:Client,cdn:CDN,lb:Load balancer,app:App,cache:Cache,sql:Primary DB,search:Search","client>cdn>lb>app,app>cache,app>sql,app>search"
"session-store-readheavy","Session service — read-heavy","Web & API","Session service","read-heavy","readheavy","no","Read on every request; an outage here is an outage everywhere.","Reads dominate 50:1; the design lives or dies on hit rate.","8","client:Client,cdn:CDN,lb:Load balancer,app:App,cache:Cache,sql:Primary DB,search:Search,cache:Edge cache","client>cdn>lb>app,app>cache,app>sql,app>search"
"session-store-bursty","Session service — burst-tolerant","Web & API","Session service","burst-tolerant","readheavy","no","Read on every request; an outage here is an outage everywhere.","Load arrives in spikes 20× the mean; steady-state sizing is a trap.","9","client:Client,cdn:CDN,lb:Load balancer,app:App,cache:Cache,sql:Primary DB,search:Search,queue:Surge queue,ratelimiter:Rate limiter","client>cdn>lb>app,app>cache,app>sql,app>search"
"session-store-multiregion","Session service — multi-region active-active","Web & API","Session service","multi-region active-active","readheavy","no","Read on every request; an outage here is an outage everywhere.","Two live regions; replication lag becomes a correctness question.","9","client:Client,cdn:CDN,lb:Load balancer,app:App,cache:Cache,sql:Primary DB,search:Search,gslb:Global LB,cdc:Replicator","client>cdn>lb>app,app>cache,app>sql,app>search"
"feature-flags","Feature flag service","Web & API","Feature flag service","base","readheavy","no","Evaluated thousands of times per request path and must never be the cause.","The straightforward shape, sized for steady load.","7","client:Client,cdn:CDN,lb:Load balancer,app:App,cache:Cache,sql:Primary DB,search:Search","client>cdn>lb>app,app>cache,app>sql,app>search"
"feature-flags-readheavy","Feature flag service — read-heavy","Web & API","Feature flag service","read-heavy","readheavy","no","Evaluated thousands of times per request path and must never be the cause.","Reads dominate 50:1; the design lives or dies on hit rate.","8","client:Client,cdn:CDN,lb:Load balancer,app:App,cache:Cache,sql:Primary DB,search:Search,cache:Edge cache","client>cdn>lb>app,app>cache,app>sql,app>search"
"feature-flags-bursty","Feature flag service — burst-tolerant","Web & API","Feature flag service","burst-tolerant","readheavy","no","Evaluated thousands of times per request path and must never be the cause.","Load arrives in spikes 20× the mean; steady-state sizing is a trap.","9","client:Client,cdn:CDN,lb:Load balancer,app:App,cache:Cache,sql:Primary DB,search:Search,queue:Surge queue,ratelimiter:Rate limiter","client>cdn>lb>app,app>cache,app>sql,app>search"
"feature-flags-multiregion","Feature flag service — multi-region active-active","Web & API","Feature flag service","multi-region active-active","readheavy","no","Evaluated thousands of times per request path and must never be the cause.","Two live regions; replication lag becomes a correctness question.","9","client:Client,cdn:CDN,lb:Load balancer,app:App,cache:Cache,sql:Primary DB,search:Search,gslb:Global LB,cdc:Replicator","client>cdn>lb>app,app>cache,app>sql,app>search"
"webhook-fanout","Webhook delivery","Web & API","Webhook delivery","base","writeheavy","no","Subscribers fail slowly, so retries queue behind the worst of them.","The straightforward shape, sized for steady load.","8","client:Client,lb:Load balancer,gateway:API gateway,app:Write API,queue:Ingest queue,worker:Writer,sql:Primary DB,cache:Read cache","client>lb>gateway>app,app>queue>worker>sql,app>cache"
"webhook-fanout-readheavy","Webhook delivery — read-heavy","Web & API","Webhook delivery","read-heavy","writeheavy","no","Subscribers fail slowly, so retries queue behind the worst of them.","Reads dominate 50:1; the design lives or dies on hit rate.","9","client:Client,lb:Load balancer,gateway:API gateway,app:Write API,queue:Ingest queue,worker:Writer,sql:Primary DB,cache:Read cache,cache:Edge cache","client>lb>gateway>app,app>queue>worker>sql,app>cache"
"webhook-fanout-bursty","Webhook delivery — burst-tolerant","Web & API","Webhook delivery","burst-tolerant","writeheavy","no","Subscribers fail slowly, so retries queue behind the worst of them.","Load arrives in spikes 20× the mean; steady-state sizing is a trap.","10","client:Client,lb:Load balancer,gateway:API gateway,app:Write API,queue:Ingest queue,worker:Writer,sql:Primary DB,cache:Read cache,queue:Surge queue,ratelimiter:Rate limiter","client>lb>gateway>app,app>queue>worker>sql,app>cache"
"webhook-fanout-multiregion","Webhook delivery — multi-region active-active","Web & API","Webhook delivery","multi-region active-active","writeheavy","no","Subscribers fail slowly, so retries queue behind the worst of them.","Two live regions; replication lag becomes a correctness question.","10","client:Client,lb:Load balancer,gateway:API gateway,app:Write API,queue:Ingest queue,worker:Writer,sql:Primary DB,cache:Read cache,gslb:Global LB,cdc:Replicator","client>lb>gateway>app,app>queue>worker>sql,app>cache"
"form-backend","Form and survey backend","Web & API","Form and survey backend","base","writeheavy","no","Bursts follow campaigns, not clocks.","The straightforward shape, sized for steady load.","8","client:Client,lb:Load balancer,gateway:API gateway,app:Write API,queue:Ingest queue,worker:Writer,sql:Primary DB,cache:Read cache","client>lb>gateway>app,app>queue>worker>sql,app>cache"
"form-backend-readheavy","Form and survey backend — read-heavy","Web & API","Form and survey backend","read-heavy","writeheavy","no","Bursts follow campaigns, not clocks.","Reads dominate 50:1; the design lives or dies on hit rate.","9","client:Client,lb:Load balancer,gateway:API gateway,app:Write API,queue:Ingest queue,worker:Writer,sql:Primary DB,cache:Read cache,cache:Edge cache","client>lb>gateway>app,app>queue>worker>sql,app>cache"
"form-backend-bursty","Form and survey backend — burst-tolerant","Web & API","Form and survey backend","burst-tolerant","writeheavy","no","Bursts follow campaigns, not clocks.","Load arrives in spikes 20× the mean; steady-state sizing is a trap.","10","client:Client,lb:Load balancer,gateway:API gateway,app:Write API,queue:Ingest queue,worker:Writer,sql:Primary DB,cache:Read cache,queue:Surge queue,ratelimiter:Rate limiter","client>lb>gateway>app,app>queue>worker>sql,app>cache"
"form-backend-multiregion","Form and survey backend — multi-region active-active","Web & API","Form and survey backend","multi-region active-active","writeheavy","no","Bursts follow campaigns, not clocks.","Two live regions; replication lag becomes a correctness question.","10","client:Client,lb:Load balancer,gateway:API gateway,app:Write API,queue:Ingest queue,worker:Writer,sql:Primary DB,cache:Read cache,gslb:Global LB,cdc:Replicator","client>lb>gateway>app,app>queue>worker>sql,app>cache"
"cms","Headless CMS","Web & API","Headless CMS","base","readheavy","no","Publishing invalidates everything at once.","The straightforward shape, sized for steady load.","7","client:Client,cdn:CDN,lb:Load balancer,app:App,cache:Cache,sql:Primary DB,search:Search","client>cdn>lb>app,app>cache,app>sql,app>search"
"cms-readheavy","Headless CMS — read-heavy","Web & API","Headless CMS","read-heavy","readheavy","no","Publishing invalidates everything at once.","Reads dominate 50:1; the design lives or dies on hit rate.","8","client:Client,cdn:CDN,lb:Load balancer,app:App,cache:Cache,sql:Primary DB,search:Search,cache:Edge cache","client>cdn>lb>app,app>cache,app>sql,app>search"
"cms-bursty","Headless CMS — burst-tolerant","Web & API","Headless CMS","burst-tolerant","readheavy","no","Publishing invalidates everything at once.","Load arrives in spikes 20× the mean; steady-state sizing is a trap.","9","client:Client,cdn:CDN,lb:Load balancer,app:App,cache:Cache,sql:Primary DB,search:Search,queue:Surge queue,ratelimiter:Rate limiter","client>cdn>lb>app,app>cache,app>sql,app>search"
"cms-multiregion","Headless CMS — multi-region active-active","Web & API","Headless CMS","multi-region active-active","readheavy","no","Publishing invalidates everything at once.","Two live regions; replication lag becomes a correctness question.","9","client:Client,cdn:CDN,lb:Load balancer,app:App,cache:Cache,sql:Primary DB,search:Search,gslb:Global LB,cdc:Replicator","client>cdn>lb>app,app>cache,app>sql,app>search"
"ecom-storefront","Storefront","Web & API","Storefront","base","readheavy","no","Browsing is cacheable, the basket is not, and they share a session.","The straightforward shape, sized for steady load.","7","client:Client,cdn:CDN,lb:Load balancer,app:App,cache:Cache,sql:Primary DB,search:Search","client>cdn>lb>app,app>cache,app>sql,app>search"
"ecom-storefront-readheavy","Storefront — read-heavy","Web & API","Storefront","read-heavy","readheavy","no","Browsing is cacheable, the basket is not, and they share a session.","Reads dominate 50:1; the design lives or dies on hit rate.","8","client:Client,cdn:CDN,lb:Load balancer,app:App,cache:Cache,sql:Primary DB,search:Search,cache:Edge cache","client>cdn>lb>app,app>cache,app>sql,app>search"
"ecom-storefront-bursty","Storefront — burst-tolerant","Web & API","Storefront","burst-tolerant","readheavy","no","Browsing is cacheable, the basket is not, and they share a session.","Load arrives in spikes 20× the mean; steady-state sizing is a trap.","9","client:Client,cdn:CDN,lb:Load balancer,app:App,cache:Cache,sql:Primary DB,search:Search,queue:Surge queue,ratelimiter:Rate limiter","client>cdn>lb>app,app>cache,app>sql,app>search"
"ecom-storefront-multiregion","Storefront — multi-region active-active","Web & API","Storefront","multi-region active-active","readheavy","no","Browsing is cacheable, the basket is not, and they share a session.","Two live regions; replication lag becomes a correctness question.","9","client:Client,cdn:CDN,lb:Load balancer,app:App,cache:Cache,sql:Primary DB,search:Search,gslb:Global LB,cdc:Replicator","client>cdn>lb>app,app>cache,app>sql,app>search"
"status-page","Status page","Web & API","Status page","base","readheavy","no","Traffic peaks exactly when your other systems are down.","The straightforward shape, sized for steady load.","7","client:Client,cdn:CDN,lb:Load balancer,app:App,cache:Cache,sql:Primary DB,search:Search","client>cdn>lb>app,app>cache,app>sql,app>search"
"status-page-readheavy","Status page — read-heavy","Web & API","Status page","read-heavy","readheavy","no","Traffic peaks exactly when your other systems are down.","Reads dominate 50:1; the design lives or dies on hit rate.","8","client:Client,cdn:CDN,lb:Load balancer,app:App,cache:Cache,sql:Primary DB,search:Search,cache:Edge cache","client>cdn>lb>app,app>cache,app>sql,app>search"
"status-page-bursty","Status page — burst-tolerant","Web & API","Status page","burst-tolerant","readheavy","no","Traffic peaks exactly when your other systems are down.","Load arrives in spikes 20× the mean; steady-state sizing is a trap.","9","client:Client,cdn:CDN,lb:Load balancer,app:App,cache:Cache,sql:Primary DB,search:Search,queue:Surge queue,ratelimiter:Rate limiter","client>cdn>lb>app,app>cache,app>sql,app>search"
"status-page-multiregion","Status page — multi-region active-active","Web & API","Status page","multi-region active-active","readheavy","no","Traffic peaks exactly when your other systems are down.","Two live regions; replication lag becomes a correctness question.","9","client:Client,cdn:CDN,lb:Load balancer,app:App,cache:Cache,sql:Primary DB,search:Search,gslb:Global LB,cdc:Replicator","client>cdn>lb>app,app>cache,app>sql,app>search"
"job-board","Job board","Web & API","Job board","base","search","no","Search relevance and index freshness are two SLOs pulling apart.","The straightforward shape, sized for steady load.","8","client:Client,cdn:CDN,gateway:API gateway,app:Query API,search:Index,cache:Cache,cdc:Indexer,sql:Source DB","client>cdn>gateway>app,app>search,app>cache,sql>cdc>search"
"job-board-readheavy","Job board — read-heavy","Web & API","Job board","read-heavy","search","no","Search relevance and index freshness are two SLOs pulling apart.","Reads dominate 50:1; the design lives or dies on hit rate.","9","client:Client,cdn:CDN,gateway:API gateway,app:Query API,search:Index,cache:Cache,cdc:Indexer,sql:Source DB,cache:Edge cache","client>cdn>gateway>app,app>search,app>cache,sql>cdc>search"
"job-board-bursty","Job board — burst-tolerant","Web & API","Job board","burst-tolerant","search","no","Search relevance and index freshness are two SLOs pulling apart.","Load arrives in spikes 20× the mean; steady-state sizing is a trap.","10","client:Client,cdn:CDN,gateway:API gateway,app:Query API,search:Index,cache:Cache,cdc:Indexer,sql:Source DB,queue:Surge queue,ratelimiter:Rate limiter","client>cdn>gateway>app,app>search,app>cache,sql>cdc>search"
"job-board-multiregion","Job board — multi-region active-active","Web & API","Job board","multi-region active-active","search","no","Search relevance and index freshness are two SLOs pulling apart.","Two live regions; replication lag becomes a correctness question.","10","client:Client,cdn:CDN,gateway:API gateway,app:Query API,search:Index,cache:Cache,cdc:Indexer,sql:Source DB,gslb:Global LB,cdc:Replicator","client>cdn>gateway>app,app>search,app>cache,sql>cdc>search"
"booking-engine","Booking engine","Web & API","Booking engine","base","txn","no","Inventory cannot be oversold, so the hot row is a real contention point.","The straightforward shape, sized for steady load.","8","client:Client,waf:WAF,gateway:API gateway,app:Transaction API,ledger:Ledger,sql:Records DB,queue:Settlement queue,worker:Settler","client>waf>gateway>app,app>ledger,app>sql,app>queue>worker"
"booking-engine-readheavy","Booking engine — read-heavy","Web & API","Booking engine","read-heavy","txn","no","Inventory cannot be oversold, so the hot row is a real contention point.","Reads dominate 50:1; the design lives or dies on hit rate.","9","client:Client,waf:WAF,gateway:API gateway,app:Transaction API,ledger:Ledger,sql:Records DB,queue:Settlement queue,worker:Settler,cache:Edge cache","client>waf>gateway>app,app>ledger,app>sql,app>queue>worker"
"booking-engine-bursty","Booking engine — burst-tolerant","Web & API","Booking engine","burst-tolerant","txn","no","Inventory cannot be oversold, so the hot row is a real contention point.","Load arrives in spikes 20× the mean; steady-state sizing is a trap.","10","client:Client,waf:WAF,gateway:API gateway,app:Transaction API,ledger:Ledger,sql:Records DB,queue:Settlement queue,worker:Settler,queue:Surge queue,ratelimiter:Rate limiter","client>waf>gateway>app,app>ledger,app>sql,app>queue>worker"
"booking-engine-multiregion","Booking engine — multi-region active-active","Web & API","Booking engine","multi-region active-active","txn","no","Inventory cannot be oversold, so the hot row is a real contention point.","Two live regions; replication lag becomes a correctness question.","10","client:Client,waf:WAF,gateway:API gateway,app:Transaction API,ledger:Ledger,sql:Records DB,queue:Settlement queue,worker:Settler,gslb:Global LB,cdc:Replicator","client>waf>gateway>app,app>ledger,app>sql,app>queue>worker"
"tenant-saas","Multi-tenant B2B SaaS","Web & API","Multi-tenant B2B SaaS","base","fanout","no","One large tenant can starve a hundred small ones.","The straightforward shape, sized for steady load.","9","client:Client,cdn:CDN,gateway:API gateway,bff:BFF,micro:Service A,micro:Service B,micro:Service C,cache:Cache,sql:DB","client>cdn>gateway>bff,bff>micro,bff>micro,bff>micro,micro>cache,micro>sql"
"tenant-saas-readheavy","Multi-tenant B2B SaaS — read-heavy","Web & API","Multi-tenant B2B SaaS","read-heavy","fanout","no","One large tenant can starve a hundred small ones.","Reads dominate 50:1; the design lives or dies on hit rate.","10","client:Client,cdn:CDN,gateway:API gateway,bff:BFF,micro:Service A,micro:Service B,micro:Service C,cache:Cache,sql:DB,cache:Edge cache","client>cdn>gateway>bff,bff>micro,bff>micro,bff>micro,micro>cache,micro>sql"
"tenant-saas-bursty","Multi-tenant B2B SaaS — burst-tolerant","Web & API","Multi-tenant B2B SaaS","burst-tolerant","fanout","no","One large tenant can starve a hundred small ones.","Load arrives in spikes 20× the mean; steady-state sizing is a trap.","11","client:Client,cdn:CDN,gateway:API gateway,bff:BFF,micro:Service A,micro:Service B,micro:Service C,cache:Cache,sql:DB,queue:Surge queue,ratelimiter:Rate limiter","client>cdn>gateway>bff,bff>micro,bff>micro,bff>micro,micro>cache,micro>sql"
"tenant-saas-multiregion","Multi-tenant B2B SaaS — multi-region active-active","Web & API","Multi-tenant B2B SaaS","multi-region active-active","fanout","no","One large tenant can starve a hundred small ones.","Two live regions; replication lag becomes a correctness question.","11","client:Client,cdn:CDN,gateway:API gateway,bff:BFF,micro:Service A,micro:Service B,micro:Service C,cache:Cache,sql:DB,gslb:Global LB,cdc:Replicator","client>cdn>gateway>bff,bff>micro,bff>micro,bff>micro,micro>cache,micro>sql"
"api-marketplace","API marketplace","Web & API","API marketplace","base","fanout","no","You are a proxy for backends you do not control.","The straightforward shape, sized for steady load.","9","client:Client,cdn:CDN,gateway:API gateway,bff:BFF,micro:Service A,micro:Service B,micro:Service C,cache:Cache,sql:DB","client>cdn>gateway>bff,bff>micro,bff>micro,bff>micro,micro>cache,micro>sql"
"api-marketplace-readheavy","API marketplace — read-heavy","Web & API","API marketplace","read-heavy","fanout","no","You are a proxy for backends you do not control.","Reads dominate 50:1; the design lives or dies on hit rate.","10","client:Client,cdn:CDN,gateway:API gateway,bff:BFF,micro:Service A,micro:Service B,micro:Service C,cache:Cache,sql:DB,cache:Edge cache","client>cdn>gateway>bff,bff>micro,bff>micro,bff>micro,micro>cache,micro>sql"
"api-marketplace-bursty","API marketplace — burst-tolerant","Web & API","API marketplace","burst-tolerant","fanout","no","You are a proxy for backends you do not control.","Load arrives in spikes 20× the mean; steady-state sizing is a trap.","11","client:Client,cdn:CDN,gateway:API gateway,bff:BFF,micro:Service A,micro:Service B,micro:Service C,cache:Cache,sql:DB,queue:Surge queue,ratelimiter:Rate limiter","client>cdn>gateway>bff,bff>micro,bff>micro,bff>micro,micro>cache,micro>sql"
"api-marketplace-multiregion","API marketplace — multi-region active-active","Web & API","API marketplace","multi-region active-active","fanout","no","You are a proxy for backends you do not control.","Two live regions; replication lag becomes a correctness question.","11","client:Client,cdn:CDN,gateway:API gateway,bff:BFF,micro:Service A,micro:Service B,micro:Service C,cache:Cache,sql:DB,gslb:Global LB,cdc:Replicator","client>cdn>gateway>bff,bff>micro,bff>micro,bff>micro,micro>cache,micro>sql"
